"latitude","longitude","speed.m.s.mean","direction.deg.t.mean"
11.03,-71.75,0.1,210.27027027027
11.05,-71.73,0.1,210
11.03,-71.74,0.1,209.72972972973
11.03,-71.73,0.1,209.459459459459
11.03,-71.72,0.1,209.189189189189
11.05,-71.72,0.1,208.918918918919
11.02,-71.73,0.1,208.648648648649
11.02,-71.74,0.1,208.378378378378
11.02,-71.75,0.1,208.108108108108
11.05,-71.69,0.1,207.837837837838
11.05,-71.7,0.1,207.567567567568
11.06,-71.7,0.1,207.297297297297
11.06,-71.69,0.1,207.027027027027
11.07,-71.69,0.1,206.756756756757
11.07,-71.68,0.1,206.486486486486
11.07,-71.67,0.1,206.216216216216
11.02,-71.72,0.1,205.945945945946
11.05,-71.67,0.1,205.675675675676
11.05,-71.68,0.1,205.405405405405
11.06,-71.67,0.1,205.135135135135
11.01,-71.7,0.1,204.864864864865
11.01,-71.69,0.1,204.594594594595
11.02,-71.69,0.1,204.324324324324
11.02,-71.7,0.1,204.054054054054
11.03,-71.7,0.1,203.783783783784
11.03,-71.69,0.1,203.513513513514
11.03,-71.68,0.1,203.243243243243
11.03,-71.67,0.1,202.972972972973
11.01,-71.68,0.1,202.702702702703
11.01,-71.67,0.1,202.432432432432
11,-71.67,0.1,202.162162162162
11.02,-71.67,0.1,201.891891891892
11.02,-71.68,0.1,201.621621621622
11.01,-71.65,0.1,201.351351351351
11,-71.65,0.1,201.081081081081
11,-71.64,0.1,200.810810810811
10.98,-71.64,0.1,200.540540540541
10.97,-71.64,0.1,200.27027027027
10.96,-71.64,0.1,200
10.95,-71.64,0.1,200
10.93,-71.64,0.1,199.958158995816
10.98,-71.65,0.1,199.916317991632
10.97,-71.65,0.1,199.874476987448
10.96,-71.65,0.1,199.832635983264
10.95,-71.65,0.1,199.790794979079
10.92,-71.65,0.1,199.748953974895
10.93,-71.65,0.1,199.707112970711
10.96,-71.68,0.1,199.665271966527
10.96,-71.67,0.1,199.623430962343
10.97,-71.67,0.1,199.581589958159
10.95,-71.67,0.1,199.539748953975
10.95,-71.68,0.1,199.497907949791
10.93,-71.67,0.1,199.456066945607
10.98,-71.67,0.1,199.414225941423
11.01,-71.72,0.1,199.372384937239
11.02,-71.78,0.1,199.330543933054
11.02,-71.79,0.1,199.28870292887
10.93,-71.68,0.1,199.246861924686
10.87,-71.72,0.1,199.205020920502
10.87,-71.73,0.1,199.163179916318
10.88,-71.73,0.1,199.121338912134
10.89,-71.73,0.1,199.07949790795
10.89,-71.72,0.1,199.037656903766
10.92,-71.67,0.1,198.995815899582
10.92,-71.68,0.1,198.953974895397
10.91,-71.68,0.1,198.912133891213
10.91,-71.67,0.1,198.870292887029
10.91,-71.69,0.1,198.828451882845
10.89,-71.69,0.1,198.786610878661
10.89,-71.7,0.1,198.744769874477
10.89,-71.68,0.1,198.702928870293
10.89,-71.65,0.1,198.661087866109
10.88,-71.7,0.1,198.619246861925
10.88,-71.69,0.1,198.577405857741
10.88,-71.68,0.1,198.535564853556
10.88,-71.67,0.1,198.493723849372
10.87,-71.67,0.1,198.451882845188
10.87,-71.69,0.1,198.410041841004
10.88,-71.65,0.1,198.36820083682
10.86,-71.68,0.1,198.326359832636
10.86,-71.69,0.1,198.284518828452
10.86,-71.7,0.1,198.242677824268
10.87,-71.7,0.1,198.200836820084
10.86,-71.73,0.1,198.1589958159
10.86,-71.72,0.1,198.117154811715
10.84,-71.7,0.1,198.075313807531
10.83,-71.72,0.1,198.033472803347
10.83,-71.73,0.1,197.991631799163
10.84,-71.73,0.1,197.949790794979
10.82,-71.72,0.1,197.907949790795
10.86,-71.67,0.1,197.866108786611
10.87,-71.65,0.1,197.824267782427
10.84,-71.69,0.1,197.782426778243
10.84,-71.68,0.1,197.740585774059
10.82,-71.69,0.1,197.698744769874
10.83,-71.69,0.1,197.65690376569
10.83,-71.7,0.1,197.615062761506
10.86,-71.65,0.1,197.573221757322
10.84,-71.65,0.1,197.531380753138
10.83,-71.65,0.1,197.489539748954
10.82,-71.68,0.1,197.44769874477
10.83,-71.68,0.1,197.405857740586
10.84,-71.67,0.1,197.364016736402
10.8,-71.69,0.1,197.322175732218
10.8,-71.7,0.1,197.280334728033
10.79,-71.7,0.1,197.238493723849
10.82,-71.65,0.1,197.196652719665
10.8,-71.67,0.1,197.154811715481
10.8,-71.68,0.1,197.112970711297
10.79,-71.68,0.1,197.071129707113
10.79,-71.67,0.1,197.029288702929
10.78,-71.67,0.1,196.987447698745
10.78,-71.68,0.1,196.945606694561
10.77,-71.68,0.1,196.903765690377
10.77,-71.67,0.1,196.861924686192
10.8,-71.65,0.1,196.820083682008
10.77,-71.65,0.1,196.778242677824
10.76,-71.67,0.1,196.73640167364
10.76,-71.68,0.1,196.694560669456
10.74,-71.68,0.1,196.652719665272
10.74,-71.67,0.1,196.610878661088
10.73,-71.68,0.1,196.569037656904
10.76,-71.65,0.1,196.52719665272
